ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
14074,Marcello Coleman,148,1253,8.40939,2.2417
14075,Funky Pushertz,893,11204,12.53243,2.60508
14076,Peppe Barra,10077,44075,4.37338,1.68145
14077,Pietra Montecorvino,9128,58709,6.43104,2.00566
14078,Almamegretta,29802,397559,13.33956,2.66302
14079,Alexia feat. Mario Lavezzi,1033,6923,6.69535,2.04061
14080,Filippo Perbellini,1111,4911,4.41636,1.68942
14081,Barbara Gilbo,458,2729,5.94553,1.93809
14082,Silvia Aprile,795,3010,3.7814,1.56473
14083,Antonio Fresa,287,2162,7.50694,2.14088
14084,KuTso,1994,37835,18.96491,2.99397
14085,Ars Nova Napoli,813,4203,5.16339,1.81862
14086,I Gatti Mézzi,3406,46963,13.78426,2.69356
14087,Maler,2128,13191,6.19586,1.9735
14088,Francesco Forni,778,3617,4.64313,1.73043
